Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-28/10/2021
Datum: 28/10/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B14C0147,001,14CP7058,105910,529120,-113,,-60,-560,-610,1994/04/07,2012/12/30
B14C0147,001,14CP7058,105910,529120,-127,,-74,-575,-625,2012/12/30,2019/08/27

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B14C0147,001,2012/06/27 00:00:00,-1,
B14C0147,001,2012/07/12 00:00:00,-2,
B14C0147,001,2012/07/26 00:00:00,-6,
B14C0147,001,2012/08/13 00:00:00,1,
B14C0147,001,2012/08/27 00:00:00,0,
B14C0147,001,2012/09/13 00:00:00,-3,
B14C0147,001,2012/09/27 00:00:00,-11,
B14C0147,001,2012/10/11 00:00:00,-15,
B14C0147,001,2012/10/29 00:00:00,,N
B14C0147,001,2012/11/14 00:00:00,-15,
B14C0147,001,2012/11/28 00:00:00,,N
B14C0147,001,2012/12/14 00:00:00,,N
B14C0147,001,2012/12/28 00:00:00,,N
B14C0147,001,2013/01/14 00:00:00,-16,
B14C0147,001,2013/01/29 00:00:00,-12,
B14C0147,001,2013/02/13 00:00:00,-11,
B14C0147,001,2013/02/28 00:00:00,-7,
B14C0147,001,2013/03/13 00:00:00,-8,
B14C0147,001,2013/03/28 00:00:00,-4,
B14C0147,001,2013/04/15 00:00:00,-5,
B14C0147,001,2013/04/28 00:00:00,,N
B14C0147,001,2013/05/14 00:00:00,-2,
B14C0147,001,2013/05/29 00:00:00,-9,
B14C0147,001,2013/06/13 00:00:00,2,
B14C0147,001,2013/06/27 00:00:00,-5,
B14C0147,001,2013/07/14 00:00:00,,N
B14C0147,001,2013/07/29 00:00:00,4,
B14C0147,001,2013/09/14 00:00:00,,N
B14C0147,001,2013/09/27 00:00:00,-10,
B14C0147,001,2013/10/15 00:00:00,-13,
B14C0147,001,2013/10/28 00:00:00,,N
B14C0147,001,2013/11/12 00:00:00,-17,
B14C0147,001,2013/11/28 00:00:00,-12,
B14C0147,001,2013/12/12 00:00:00,-15,
B14C0147,001,2013/12/28 00:00:00,,N
B14C0147,001,2014/01/15 00:00:00,-18,
B14C0147,001,2014/01/29 00:00:00,-16,
B14C0147,001,2014/02/14 00:00:00,-18,
B14C0147,001,2014/02/28 00:00:00,-14,
B14C0147,001,2014/03/14 00:00:00,-6,
B14C0147,001,2014/03/28 00:00:00,,N
B14C0147,001,2014/04/15 00:00:00,-11,
B14C0147,001,2014/04/28 00:00:00,-6,
B14C0147,001,2014/05/14 00:00:00,-9,
B14C0147,001,2014/05/28 00:00:00,,N
B14C0147,001,2014/06/16 00:00:00,-5,
B14C0147,001,2014/06/30 00:00:00,1,
B14C0147,001,2014/07/14 00:00:00,1,
B14C0147,001,2014/07/29 00:00:00,0,
B14C0147,001,2014/08/14 00:00:00,,N
B14C0147,001,2014/08/28 00:00:00,-12,
B14C0147,001,2014/09/15 00:00:00,-3,
B14C0147,001,2014/09/30 00:00:00,-2,
B14C0147,001,2014/10/14 00:00:00,,N
B14C0147,001,2014/10/28 00:00:00,,N
B14C0147,001,2014/11/13 00:00:00,-15,
B14C0147,001,2014/11/28 00:00:00,,N
B14C0147,001,2014/12/14 00:00:00,,N
B14C0147,001,2014/12/28 00:00:00,,N
B14C0147,001,2015/01/13 00:00:00,-24,
B14C0147,001,2015/01/27 00:00:00,-16,
B14C0147,001,2015/02/16 00:00:00,-13,
B14C0147,001,2015/02/28 00:00:00,,N
B14C0147,001,2015/03/16 00:00:00,-9,
B14C0147,001,2015/03/27 00:00:00,-12,
B14C0147,001,2015/04/14 00:00:00,-12,
B14C0147,001,2015/04/29 00:00:00,-11,
B14C0147,001,2015/05/14 00:00:00,,N
B14C0147,001,2015/05/28 00:00:00,2,
B14C0147,001,2015/06/15 00:00:00,6,
B14C0147,001,2015/06/29 00:00:00,18,
B14C0147,001,2015/07/13 00:00:00,12,
B14C0147,001,2015/07/28 00:00:00,,N
B14C0147,001,2015/08/14 00:00:00,,N
B14C0147,001,2015/08/26 00:00:00,-6,
B14C0147,001,2015/09/14 00:00:00,,N
B14C0147,001,2015/09/28 00:00:00,,N
B14C0147,001,2015/10/12 00:00:00,-11,
B14C0147,001,2015/10/28 00:00:00,-13,
B14C0147,001,2015/11/16 00:00:00,-21,
B14C0147,001,2015/12/01 00:00:00,-25,
B14C0147,001,2016/01/14 00:00:00,-23,
B14C0147,001,2016/01/20 00:00:00,-19,
B14C0147,001,2016/02/16 00:00:00,-21,
B14C0147,001,2016/02/29 00:00:00,-18,
B14C0147,001,2016/03/14 00:00:00,,N
B14C0147,001,2016/03/31 00:00:00,-17,
B14C0147,001,2016/04/14 00:00:00,-15,
B14C0147,001,2016/04/28 00:00:00,,N
B14C0147,001,2016/05/12 00:00:00,-9,
B14C0147,001,2016/05/28 00:00:00,,N
B14C0147,001,2016/06/16 00:00:00,-4,
B14C0147,001,2016/06/28 00:00:00,-9,
B14C0147,001,2016/07/15 00:00:00,-6,
B14C0147,001,2016/07/28 00:00:00,,N
B14C0147,001,2016/08/16 00:00:00,-2,
B14C0147,001,2016/08/28 00:00:00,,N
B14C0147,001,2016/09/13 00:00:00,-32,
B14C0147,001,2016/09/27 00:00:00,3,
B14C0147,001,2016/10/12 00:00:00,0,
B14C0147,001,2016/10/28 00:00:00,,N
B14C0147,001,2016/11/14 00:00:00,,N
B14C0147,001,2016/11/28 00:00:00,,N
B14C0147,001,2016/12/14 00:00:00,,N
B14C0147,001,2016/12/28 00:00:00,,N
B14C0147,001,2017/01/14 00:00:00,,N
B14C0147,001,2017/01/28 00:00:00,,N
B14C0147,001,2017/02/14 00:00:00,,N
B14C0147,001,2017/02/28 00:00:00,,N
B14C0147,001,2017/03/14 00:00:00,,N
B14C0147,001,2017/03/28 00:00:00,-11,
B14C0147,001,2017/04/14 00:00:00,-7,
B14C0147,001,2017/04/28 00:00:00,,N
B14C0147,001,2017/05/15 00:00:00,-1,
B14C0147,001,2017/05/28 00:00:00,,N
B14C0147,001,2017/06/15 00:00:00,,N
B14C0147,001,2017/06/28 00:00:00,,N
B14C0147,001,2017/07/18 00:00:00,8,
B14C0147,001,2017/07/28 00:00:00,,N
B14C0147,001,2017/08/13 00:00:00,8,
B14C0147,001,2017/08/28 00:00:00,6,
B14C0147,001,2017/09/14 00:00:00,,N
B14C0147,001,2017/09/28 00:00:00,,N
B14C0147,001,2017/10/14 00:00:00,,N
B14C0147,001,2017/10/27 00:00:00,-16,
B14C0147,001,2017/11/14 00:00:00,,N
B14C0147,001,2017/11/28 00:00:00,-23,
B14C0147,001,2017/12/15 00:00:00,-25,
B14C0147,001,2017/12/28 00:00:00,,N
B14C0147,001,2018/01/14 00:00:00,,N
B14C0147,001,2018/01/28 00:00:00,,N
B14C0147,001,2018/02/14 00:00:00,,N
B14C0147,001,2018/02/28 00:00:00,,Y
B14C0147,001,2018/03/14 00:00:00,-16,
B14C0147,001,2018/03/29 00:00:00,-12,
B14C0147,001,2018/04/13 00:00:00,-14,
B14C0147,001,2018/04/30 00:00:00,-14,
B14C0147,001,2018/05/14 00:00:00,,N
B14C0147,001,2018/05/23 00:00:00,-2,
B14C0147,001,2018/06/14 00:00:00,-2,
B14C0147,001,2018/06/28 00:00:00,,N
B14C0147,001,2018/07/12 00:00:00,12,
B14C0147,001,2018/07/28 00:00:00,,N
B14C0147,001,2018/08/14 00:00:00,9,
B14C0147,001,2018/08/28 00:00:00,0,
B14C0147,001,2018/09/14 00:00:00,-5,
B14C0147,001,2018/09/28 00:00:00,-3,
B14C0147,001,2018/10/12 00:00:00,-1,
B14C0147,001,2018/10/26 00:00:00,-1,
B14C0147,001,2018/11/13 00:00:00,-6,
B14C0147,001,2018/11/30 00:00:00,-5,
B14C0147,001,2018/12/14 00:00:00,-12,
B14C0147,001,2018/12/28 00:00:00,-13,
B14C0147,001,2019/01/14 00:00:00,,N
B14C0147,001,2019/01/28 00:00:00,,N
B14C0147,001,2019/02/14 00:00:00,-14,
B14C0147,001,2019/03/01 00:00:00,-12,
B14C0147,001,2019/03/14 00:00:00,,N
B14C0147,001,2019/03/29 00:00:00,-13,
B14C0147,001,2019/04/11 00:00:00,-8,
B14C0147,001,2019/04/26 00:00:00,-4,
B14C0147,001,2019/06/13 00:00:00,-10,
B14C0147,001,2019/06/27 00:00:00,-4,
